id	en	fr	pt	es	it	ko	ru	tr	de																	
unsubscribe	Unsubscribe	Se désinscrire	Cancelar a subscrição	Cancelar suscripción	Annullamento dell'iscrizione	구독 취소	Отписаться от рассылки	Abonelikten çık	Abbestellen																	
footer/indexation	Indexation	Indexation	Indexação	Indexación	Indicizzazione	인덱싱	Индексация	İndeksleme	Indexierung																	
footer/analytics	Analytics	Analyse	Analítica	Analítica	Analisi	분석	Аналитика	Analitik	Analytik																	
footer/opportunities	Opportunities	Opportunités	Oportunidades	Oportunidades	Opportunità	기회	Возможности	Fırsatlar	Möglichkeiten																	
footer/leaderboard	Leaderboard	Tableau de bord	Tabela de classificação	Clasificación	Classifica	리더보드	Таблица лидеров	Liderlik Tablosu	Bestenliste																	
footer/keywords	Keywords	Mots clés	Palavras-chave	Palabras clave	Parole chiave	키워드	Ключевые слова	Anahtar Kelimeler	Schlüsselwörter																	
footer/tools	Tools	Outils	Ferramentas	Herramientas	Strumenti	도구	Инструменты	Araçlar	Werkzeuge																	
footer/legal	Legal	Juridique	Jurídico	Legal	Legale	법률	Юридическая	Yasal	Rechtliches																	
footer/legal-notice	Legal Notice	Avis juridique	Aviso legal	Aviso legal	Avviso legale	법적 고지	Юридическое уведомление	Yasal Uyarı	Rechtlicher Hinweis																	
footer/privacy	Privacy Policy	Politique de confidentialité	Política de privacidade	Política de privacidad	Informativa sulla privacy	개인정보 보호정책	Политика конфиденциальности	Gizlilik Politikası	Datenschutzbestimmungen																	
footer/terms-of-use	Terms of Use	Conditions d'utilisation	Termos de utilização	Condiciones de uso	Condizioni di utilizzo	이용 약관	Условия использования	Kullanım Koşulları	Nutzungsbedingungen																	
footer/pricing	Pricing	Tarification	Preços	Precios	Prezzi	가격 책정	Ценообразование	Fiyatlandırma	Preisgestaltung																	
footer/offers	Offers	Offres	Ofertas	Ofertas	Offerte	오퍼	Предложения	Teklifler	Angebote																	
footer/affiliation	Affilation	Affilation	Afiliação	Afiliación	Affiliazione	소속	Аффиляция	Afilasyon	Affilierung																	
footer/affiliation/per-month	50% per month	50% par mois	50% por mês	50% al mes	50% al mese	월 50%	50% в месяц	Aylık %50	50% pro Monat																	